"Date","Price","Open","High","Low","Change %"
"Jan 20","10.6394","10.7315","10.7601","10.6009","-0.76%"
"Dec 19","10.7212","10.6342","10.7752","10.6321","0.82%"
"Nov 19","10.6337","10.7295","10.7417","10.6058","-0.81%"
"Oct 19","10.7202","10.6241","10.7448","10.6053","0.95%"
"Sep 19","10.6193","10.6132","10.7233","10.5771","0.13%"
"Aug 19","10.6056","10.6868","10.7435","10.5923","-0.72%"
"Jul 19","10.6826","10.8953","10.9012","10.6746","-1.87%"
"Jun 19","10.8860","10.8398","10.9165","10.7129","0.33%"
"May 19","10.8504","10.8217","10.8789","10.7839","0.30%"
"Apr 19","10.8179","10.8394","10.8733","10.7466","-0.20%"
"Mar 19","10.8395","10.8792","10.9459","10.7961","-0.23%"
"Feb 19","10.8644","10.9090","10.9319","10.7316","-0.38%"
"Jan 19","10.9062","10.9595","10.9895","10.8236","-0.49%"
"Dec 18","10.9595","10.7778","10.9690","10.7701","1.76%"
"Nov 18","10.7702","10.8260","10.8878","10.7379","-0.48%"
"Oct 18","10.8217","10.9395","10.9593","10.8080","-1.10%"
"Sep 18","10.9417","10.9439","11.0283","10.9068","0.01%"
"Aug 18","10.9403","11.0433","11.0527","10.8383","-0.91%"
"Jul 18","11.0404","11.0668","11.1113","11.0098","-0.30%"
"Jun 18","11.0738","11.0933","11.1585","11.0242","-0.13%"
"May 18","11.0885","11.2282","11.2393","11.0184","-1.21%"
"Apr 18","11.2242","11.3390","11.3623","11.2130","-0.96%"
"Mar 18","11.3331","11.2940","11.3868","11.2677","0.39%"
"Feb 18","11.2886","11.3673","11.4249","11.2858","-0.71%"
"Jan 18","11.3696","11.2231","11.4107","11.1798","1.43%"
"Dec 17","11.2091","11.1820","11.2459","11.1160","0.29%"
"Nov 17","11.1772","11.0633","11.2185","11.0234","1.08%"
"Oct 17","11.0573","11.1323","11.1635","11.0339","-0.53%"
"Sep 17","11.1157","11.1508","11.2600","11.0765","-0.27%"
"Aug 17","11.1459","11.1645","11.2633","11.0659","-0.12%"
"Jul 17","11.1597","11.0191","11.1788","10.9711","1.31%"
"Jun 17","11.0158","10.9485","11.1264","10.8965","0.66%"
"May 17","10.9431","10.8252","10.9650","10.7825","1.25%"
"Apr 17","10.8085","10.7218","10.9557","10.6705","0.89%"
"Mar 17","10.7133","10.6833","10.8483","10.6389","0.33%"
"Feb 17","10.6776","10.7729","10.7952","10.6320","-0.82%"
"Jan 17","10.7661","10.6625","10.8097","10.5259","1.19%"
