"Date","Price","Open","High","Low","Change %"
"Jan 20","9.5911","9.5714","9.6685","9.5540","0.28%"
"Dec 19","9.5640","9.6577","9.6770","9.5515","-0.93%"
"Nov 19","9.6538","9.6168","9.6980","9.5953","0.41%"
"Oct 19","9.6141","9.7469","9.7640","9.5850","-1.34%"
"Sep 19","9.7443","9.6585","9.7652","9.6084","0.97%"
"Aug 19","9.6511","9.6500","9.6756","9.5278","0.05%"
"Jul 19","9.6466","9.5787","9.6593","9.5357","0.74%"
"Jun 19","9.5760","9.6977","9.7121","9.5031","-1.32%"
"May 19","9.7043","9.6494","9.7415","9.6161","0.60%"
"Apr 19","9.6468","9.6610","9.6874","9.5767","-0.17%"
"Mar 19","9.6635","9.5563","9.6780","9.5344","1.13%"
"Feb 19","9.5553","9.5330","9.5814","9.4916","0.28%"
"Jan 19","9.5284","9.5536","9.6301","9.4321","-0.29%"
"Dec 18","9.5558","9.5261","9.6283","9.4599","0.39%"
"Nov 18","9.5185","9.5620","9.5951","9.4426","-0.52%"
"Oct 18","9.5683","9.4245","9.5805","9.4144","1.51%"
"Sep 18","9.4260","9.4430","9.4746","9.3209","-0.03%"
"Aug 18","9.4292","9.4469","9.5996","9.3707","-0.15%"
"Jul 18","9.4435","9.4980","9.5305","9.4109","-0.37%"
"Jun 18","9.4786","9.4879","9.5870","9.4096","-0.07%"
"May 18","9.4855","9.2960","9.5802","9.2907","2.06%"
"Apr 18","9.2939","9.2015","9.3099","9.1479","1.04%"
"Mar 18","9.1982","9.2615","9.2814","9.1132","-0.66%"
"Feb 18","9.2590","9.1551","9.2674","9.0913","1.14%"
"Jan 18","9.1543","9.3510","9.3966","9.0924","-2.03%"
"Dec 17","9.3440","9.3934","9.4963","9.3354","-0.50%"
"Nov 17","9.3910","9.4992","9.5476","9.3645","-1.11%"
"Oct 17","9.4961","9.4202","9.5545","9.3805","0.91%"
"Sep 17","9.4105","9.3625","9.4660","9.2713","0.54%"
"Aug 17","9.3600","9.4279","9.5227","9.2809","-0.69%"
"Jul 17","9.4254","9.6468","9.7046","9.4257","-2.26%"
"Jun 17","9.6435","9.7368","9.8095","9.6291","-0.93%"
"May 17","9.7338","9.9250","9.9569","9.7219","-1.88%"
"Apr 17","9.9206","10.0600","10.1095","9.8907","-1.32%"
"Mar 17","10.0530","10.1015","10.1552","9.9149","-0.44%"
"Feb 17","10.0970","9.9633","10.1559","9.9106","1.20%"
"Jan 17","9.9774","10.1393","10.2455","9.9361","-1.41%"
"Dec 16","10.1200","10.0696","10.2415","9.8973","0.80%"
"Nov 16","10.0395","9.8516","10.1465","9.6733","2.02%"
"Oct 16","9.8412","9.7162","9.9522","9.6883","1.77%"
"Sep 16","9.6700","9.7555","9.7998","9.6427","-0.47%"
"Aug 16","9.7160","9.7545","9.8433","9.6247","-0.44%"
"Jul 16","9.7591","9.7827","9.8943","9.7219","-0.19%"
"Jun 16","9.7777","9.7698","9.9041","9.5915","0.17%"
"May 16","9.7607","9.5946","9.8010","9.4908","1.81%"
"Apr 16","9.5869","9.6332","9.7397","9.5597","-0.44%"
"Mar 16","9.6292","9.9115","9.9524","9.5947","-2.44%"
"Feb 16","9.8700","9.9211","9.9494","9.6159","-0.47%"
"Jan 16","9.9167","9.9167","10.0267","9.8239","0.30%"
"Dec 15","9.8873","10.0760","10.1082","9.7838","-1.66%"
"Nov 15","10.0541","9.8015","10.1005","9.7825","2.57%"
"Oct 15","9.8020","9.7336","9.9063","9.5569","0.74%"
"Sep 15","9.7296","9.7100","9.8047","9.5700","0.61%"
"Aug 15","9.6708","9.7940","9.9319","9.4368","-1.19%"
"Jul 15","9.7870","9.7258","9.9418","9.6743","0.62%"
"Jun 15","9.7270","9.8089","9.9031","9.5639","-0.83%"
"May 15","9.8080","9.6959","9.9402","9.5487","1.23%"
"Apr 15","9.6884","9.9607","10.1230","9.6714","-2.70%"
"Mar 15","9.9574","9.6320","10.1730","9.5877","3.31%"
"Feb 15","9.6383","9.5723","9.6657","9.4127","0.71%"
