"Date","CPI"
Jan 2020,102.3
Dec 2019,102.5
Nov 2019,102.5
Oct 2019,102.1
Sep 2019,101.9
Aug 2019,102.1
Jul 2019,101.7
Jun 2019,102.6
May 2019,102.4
Apr 2019,101.5
Mar 2019,100.9
Feb 2019,100.9
Jan 2019,100.9
Dec 2018,101.4
Nov 2018,102.1
Oct 2018,101.6
Sep 2018,101.8
Aug 2018,101.4
Jul 2018,101.4
Jun 2018,102.4
May 2018,102.1
Apr 2018,101.5
Mar 2018,101
Feb 2018,100.9
Jan 2018,101.4
Dec 2017,101.062
Nov 2017,100.556
Oct 2017,100.134
Sep 2017,100.218
Aug 2017,99.374
Jul 2017,99.036
Jun 2017,99.543
May 2017,99.205
Apr 2017,98.698
Mar 2017,98.529
Feb 2017,99.120
Jan 2017,99.374
Dec 2016,99.205
Nov 2016,99.289
Oct 2016,99.543
Sep 2016,99.796
Aug 2016,99.120
Jul 2016,99.120
Jun 2016,99.289
May 2016,98.867
Apr 2016,98.361
Mar 2016,98.445
Feb 2016,97.516
Jan 2016,97.347
Dec 2015,97.432
Nov 2015,97.432
Oct 2015,97.938
Sep 2015,97.516
Aug 2015,97.516
Jul 2015,97.601
Jun 2015,97.094
May 2015,97.010
Apr 2015,96.841
Mar 2015,96.672
Feb 2015,96.672
Jan 2015,97.094
Dec 2014,96.841
Nov 2014,96.588
Oct 2014,96.588
Sep 2014,95.997
Aug 2014,95.912
Jul 2014,95.321
Jun 2014,95.237
May 2014,95.068
Apr 2014,95.237
Mar 2014,95.152
Feb 2014,95.405
Jan 2014,95.574
Dec 2013,95.321
Nov 2013,95.405
Oct 2013,95.997
Sep 2013,95.912
Aug 2013,95.912
Jul 2013,94.983
Jun 2013,95.321
May 2013,95.321
Apr 2013,94.814
Mar 2013,94.814
Feb 2013,94.983
Jan 2013,95.068
Dec 2012,94.899
Nov 2012,94.477
Oct 2012,94.561
Sep 2012,94.308
Aug 2012,94.139
Jul 2012,93.464
Jun 2012,93.210
May 2012,92.704
Apr 2012,92.619
Mar 2012,92.788
Feb 2012,92.957
Jan 2012,92.704
Dec 2011,92.535
Nov 2011,92.957
Oct 2011,92.873
Sep 2011,93.210
Aug 2011,93.210
Jul 2011,91.944
Jun 2011,91.437
May 2011,91.775
Apr 2011,91.522
Mar 2011,92.535
Feb 2011,92.619
Jan 2011,91.859
Dec 2010,91.691
Nov 2010,92.535
Oct 2010,93.210
Sep 2010,92.450
Aug 2010,91.184
Jul 2010,90.340
Jun 2010,90.846
May 2010,91.775
Apr 2010,91.775
Mar 2010,92.028
Feb 2010,90.762
Jan 2010,"89.918"
